path,category,reason,risk,size,ref_count,last_commit,recommendation,source
stillme_platform\mobile\package-lock.json,node,Matches pattern: package-lock.json,LOW,490734,0,35cce8b7,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\app.json,backup,Matches pattern: temp,LOW,72,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\App.tsx,backup,Matches pattern: temp,LOW,890,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\babel.config.js,backup,Matches pattern: temp,LOW,72,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\index.js,backup,Matches pattern: temp,LOW,187,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\jest.config.js,backup,Matches pattern: temp,LOW,48,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\metro.config.js,backup,Matches pattern: temp,LOW,301,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\package-lock.json,backup,Matches pattern: temp,LOW,538270,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\package.json,backup,Matches pattern: temp,LOW,2343,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\README.md,backup,Matches pattern: temp,LOW,3582,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\tsconfig.json,backup,Matches pattern: temp,LOW,134,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\android\gradlew.bat,backup,Matches pattern: temp,LOW,3134,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\android\app\src\main\java\com\stillmemobiletemp\MainActivity.kt,backup,Matches pattern: temp,LOW,865,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\android\app\src\main\java\com\stillmemobiletemp\MainApplication.kt,backup,Matches pattern: temp,LOW,1383,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\ios\StillMeMobileTemp\AppDelegate.swift,backup,Matches pattern: temp,LOW,1240,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\ios\StillMeMobileTemp\Images.xcassets\Contents.json,backup,Matches pattern: temp,LOW,63,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\ios\StillMeMobileTemp\Images.xcassets\AppIcon.appiconset\Contents.json,backup,Matches pattern: temp,LOW,849,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\src\hooks\redux.ts,backup,Matches pattern: temp,LOW,396,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\src\screens\AuthScreen.tsx,backup,Matches pattern: temp,LOW,6878,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\src\screens\ChatScreen.tsx,backup,Matches pattern: temp,LOW,9167,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\src\screens\SettingsScreen.tsx,backup,Matches pattern: temp,LOW,11356,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\src\screens\SplashScreen.tsx,backup,Matches pattern: temp,LOW,1313,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\src\services\biometric.ts,backup,Matches pattern: temp,LOW,9544,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\src\services\notifications.ts,backup,Matches pattern: temp,LOW,10926,0,unknown,QUARANTINE,primary
stillme_platform\StillMeMobileTemp\src\services\storage.ts,backup,Matches pattern: temp,LOW,13171,0,unknown,QUARANTINE,primary
